Element Name,PS1,PS2,PS1-Sign,PS2-Sign,Value-Sign,Note
FE_SCS1:SOLR_D0704,FE_SCS1:PSOL_D0704:I_CSET,,,,,
FE_SCS1:DCH_D0709,FE_SCS1:PSC2_D0709:I_CSET,,,,,
FE_SCS1:DCV_D0709,FE_SCS1:PSC1_D0709:I_CSET,,,,,
FE_SCS1:DH_D0717,FE_SCS1:PSD_D0717:I_CSET,,,,,
FE_SCS1:DCH_D0723,FE_SCS1:PSC2_D0723:I_CSET,,,,,
FE_SCS1:DCV_D0723,FE_SCS1:PSC1_D0723:I_CSET,,,,,
FE_SCS1:QHE_D0726,FE_SCS1:PSQ1_D0726:V_CSET,FE_SCS1:PSQ2_D0726:V_CSET,-,+,+,Horizontal Focusing
FE_SCS1:QVE_D0730,FE_SCS1:PSQ1_D0730:V_CSET,FE_SCS1:PSQ2_D0730:V_CSET,+,-,-,Vertical Focusing
FE_SCS1:QHE_D0733,FE_SCS1:PSQ1_D0733:V_CSET,FE_SCS1:PSQ2_D0733:V_CSET,-,+,+,Horizontal Focusing
FE_SCS1:QHE_D0743,FE_SCS1:PSQ1_D0743:V_CSET,FE_SCS1:PSQ2_D0743:V_CSET,-,+,+,Horizontal Focusing
FE_SCS1:QVE_D0746,FE_SCS1:PSQ1_D0746:V_CSET,FE_SCS1:PSQ2_D0746:V_CSET,+,-,-,Vertical Focusing
FE_SCS1:QHE_D0749,FE_SCS1:PSQ1_D0749:V_CSET,FE_SCS1:PSQ2_D0749:V_CSET,-,+,+,Horizontal Focusing
FE_LEBT:DH_D0759,FE_LEBT:PSD_D0759:I_CSET,,,,,
FE_LEBT:QVE_D0767,FE_LEBT:PSQ1_D0767:V_CSET,FE_LEBT:PSQ2_D0767:V_CSET,+,-,-,Vertical Focusing
FE_LEBT:QHE_D0770,FE_LEBT:PSQ1_D0770:V_CSET,FE_LEBT:PSQ2_D0770:V_CSET,-,+,+,Horizontal Focusing
FE_LEBT:DCH_D0773,FE_LEBT:PSC2_D0773:I_CSET,,,,,
FE_LEBT:DCV_D0773,FE_LEBT:PSC1_D0773:I_CSET,,,,,
FE_LEBT:QHE_D0776,FE_LEBT:PSQ1_D0776:V_CSET,FE_LEBT:PSQ2_D0776:V_CSET,+,-,-,Vertical Focusing
FE_LEBT:QVE_D0780,FE_LEBT:PSQ1_D0780:V_CSET,FE_LEBT:PSQ2_D0780:V_CSET,-,+,+,Horizontal Focusing
FE_LEBT:SOLR_D0787,FE_LEBT:PSOL_D0787:I_CSET,,,,,
FE_LEBT:DCH_D0790,FE_LEBT:PSC2_D0790:I_CSET,,,,,
FE_LEBT:DCV_D0790,FE_LEBT:PSC1_D0790:I_CSET,,,,,
FE_LEBT:SOLR_D0802,FE_LEBT:PSOL_D0802:I_CSET,,,,,
FE_LEBT:DCH_D0805,FE_LEBT:PSC2_D0805:I_CSET,,,,,
FE_LEBT:DCV_D0805,FE_LEBT:PSC1_D0805:I_CSET,,,,,
FE_LEBT:SOLR_D0818,FE_LEBT:PSOL_D0818:I_CSET,,,,,
FE_LEBT:DCH_D0821,FE_LEBT:PSC2_D0821:I_CSET,,,,,
FE_LEBT:DCV_D0821,FE_LEBT:PSC1_D0821:I_CSET,,,,,
FE_LEBT:DVE_D0833,FE_LEBT:PSD1_D0833:V_CSET,FE_LEBT:PSD2_D0833:V_CSET,+,-,-,E-bend
FE_LEBT:DCH_D0840,FE_LEBT:PSC2_D0840:I_CSET,,,,,
FE_LEBT:DCV_D0840,FE_LEBT:PSC1_D0840:I_CSET,,,,,
FE_LEBT:QHE_D0844,FE_LEBT:PSQ1_D0844:V_CSET,FE_LEBT:PSQ2_D0844:V_CSET,+,-,-,Vertical Focusing
FE_LEBT:QVE_D0848,FE_LEBT:PSQ1_D0848:V_CSET,FE_LEBT:PSQ2_D0848:V_CSET,-,+,+,Horizontal Focusing
FE_LEBT:QHE_D0851,FE_LEBT:PSQ1_D0851:V_CSET,FE_LEBT:PSQ2_D0851:V_CSET,+,-,-,Vertical Focusing
FE_LEBT:DCH_D0868,FE_LEBT:PSC2_D0868:I_CSET,,,,,
FE_LEBT:DCV_D0868,FE_LEBT:PSC1_D0868:I_CSET,,,,,
FE_LEBT:QVE_D0871,FE_LEBT:PSQ1_D0871:V_CSET,FE_LEBT:PSQ2_D0871:V_CSET,-,+,+,Horizontal Focusing
FE_LEBT:QHE_D0874,FE_LEBT:PSQ1_D0874:V_CSET,FE_LEBT:PSQ2_D0874:V_CSET,+,-,-,Vertical Focusing
FE_LEBT:QVE_D0878,FE_LEBT:PSQ1_D0878:V_CSET,FE_LEBT:PSQ2_D0878:V_CSET,-,+,+,Horizontal Focusing
FE_LEBT:DCH_D0880,FE_LEBT:PSC2_D0880:I_CSET,,,,,
FE_LEBT:DCV_D0880,FE_LEBT:PSC1_D0880:I_CSET,,,,,
FE_LEBT:QVE_D0891,FE_LEBT:PSQ1_D0891:V_CSET,FE_LEBT:PSQ2_D0891:V_CSET,-,+,+,Horizontal Focusing
FE_LEBT:QHE_D0895,FE_LEBT:PSQ1_D0895:V_CSET,FE_LEBT:PSQ2_D0895:V_CSET,+,-,-,Vertical Focusing
FE_LEBT:QVE_D0898,FE_LEBT:PSQ1_D0898:V_CSET,FE_LEBT:PSQ2_D0898:V_CSET,-,+,+,Horizontal Focusing
FE_LEBT:DCH_D0901,FE_LEBT:PSC2_D0901:I_CSET,,,,,
FE_LEBT:DCV_D0901,FE_LEBT:PSC1_D0901:I_CSET,,,,,
FE_LEBT:QHE_D0918,FE_LEBT:PSQ1_D0918:V_CSET,FE_LEBT:PSQ2_D0918:V_CSET,+,-,-,Vertical Focusing
FE_LEBT:QVE_D0921,FE_LEBT:PSQ1_D0921:V_CSET,FE_LEBT:PSQ2_D0921:V_CSET,-,+,+,Horizontal Focusing
FE_LEBT:QHE_D0924,FE_LEBT:PSQ1_D0924:V_CSET,FE_LEBT:PSQ2_D0924:V_CSET,+,-,-,Vertical Focusing
FE_LEBT:DCH_D0929,FE_LEBT:PSC2_D0929:I_CSET,,,,,
FE_LEBT:DCV_D0929,FE_LEBT:PSC1_D0929:I_CSET,,,,,
FE_LEBT:DVE_D0936,FE_LEBT:PSD1_D0936:V_CSET,FE_LEBT:PSD2_D0936:V_CSET,+,-,-,E-bend
FE_LEBT:DCH_D0948,FE_LEBT:PSC2_D0948:I_CSET,,,,,
FE_LEBT:DCV_D0948,FE_LEBT:PSC1_D0948:I_CSET,,,,,
FE_LEBT:SOLR_D0951,FE_LEBT:PSOL_D0951:I_CSET,,,,,
FE_LEBT:DCH_D0964,FE_LEBT:PSC2_D0964:I_CSET,,,,,
FE_LEBT:DCV_D0964,FE_LEBT:PSC1_D0964:I_CSET,,,,,
FE_LEBT:SOLR_D0967,FE_LEBT:PSOL_D0967:I_CSET,,,,,
FE_LEBT:DCH_D0979,FE_LEBT:PSC2_D0979:I_CSET,,,,,
FE_LEBT:DCV_D0979,FE_LEBT:PSC1_D0979:I_CSET,,,,,
FE_LEBT:SOLR_D0982,FE_LEBT:PSOL_D0982:I_CSET,,,,,
FE_LEBT:DCH_D0992,FE_LEBT:PSC2_D0992:I_CSET,,,,,
FE_LEBT:DCV_D0992,FE_LEBT:PSC1_D0992:I_CSET,,,,,
FE_LEBT:SOLR_D0995,FE_LEBT:PSOL_D0995:I_CSET,,,,,
,,,,,,
FE_MEBT:Q_D1057,FE_MEBT:PSQ_D1057:I_CSET,,,,,
FE_MEBT:Q_D1060,FE_MEBT:PSQ_D1060:I_CSET,,,,,
FE_MEBT:Q_D1062,FE_MEBT:PSQ_D1062:I_CSET,,,,,
FE_MEBT:DCV_D1062,FE_MEBT:PSC1_D1062:I_CSET,,,,,
FE_MEBT:DCH_D1062,FE_MEBT:PSC2_D1062:I_CSET,,,,,
FE_MEBT:Q_D1074,FE_MEBT:PSQ_D1074:I_CSET,,,,,
FE_MEBT:Q_D1076,FE_MEBT:PSQ_D1076:I_CSET,,,,,
FE_MEBT:Q_D1078,FE_MEBT:PSQ_D1078:I_CSET,,,,,
FE_MEBT:DCV_D1078,FE_MEBT:PSC1_D1078:I_CSET,,,,,
FE_MEBT:DCH_D1078,FE_MEBT:PSC2_D1078:I_CSET,,,,,
FE_MEBT:DH_D1086,FE_MEBT:PSD_D1086:I_CSET,,,,,
FE_MEBT:Q_D1095,FE_MEBT:PSQ_D1095:I_CSET,,,,,
FE_MEBT:Q_D1098,FE_MEBT:PSQ_D1098:I_CSET,,,,,
FE_MEBT:Q_D1100,FE_MEBT:PSQ_D1100:I_CSET,,,,,
FE_MEBT:DCV_D1100,FE_MEBT:PSC1_D1100:I_CSET,,,,,
FE_MEBT:DCH_D1100,FE_MEBT:PSC2_D1100:I_CSET,,,,,
FE_MEBT:Q_D1113,FE_MEBT:PSQ_D1113:I_CSET,,,,,
FE_MEBT:Q_D1115,FE_MEBT:PSQ_D1115:I_CSET,,,,,
FE_MEBT:Q_D1117,FE_MEBT:PSQ_D1117:I_CSET,,,,,
FE_MEBT:DCV_D1117,FE_MEBT:PSC1_D1117:I_CSET,,,,,
FE_MEBT:DCH_D1117,FE_MEBT:PSC2_D1117:I_CSET,,,,,
,,,,,,
FS1_CSS:DH_D2163,FS1_CSS:PSD_D2163:I_CSET,,,,,
FS1_CSS:DH_D2169,FS1_CSS:PSD_D2169:I_CSET,,,,,
FS1_CSS:DH_D2174,FS1_CSS:PSD_D2174:I_CSET,,,,,
FS1_CSS:DH_D2180,FS1_CSS:PSD_D2180:I_CSET,,,,,
FS1_CSS:DH_D2290,FS1_CSS:PSD_D2290:I_CSET,,,,,
FS1_CSS:DH_D2296,FS1_CSS:PSD_D2296:I_CSET,,,,,
FS1_CSS:DH_D2302,FS1_CSS:PSD_D2302:I_CSET,,,,,
FS1_CSS:DH_D2308,FS1_CSS:PSD_D2308:I_CSET,,,,,
,,,,,,
FS1_BTS:DH_D2394,FS1_BBS:PSD_D2394:I_CSET,,,,,
,,,,,,
FS1_BBS:DH_D2394,FS1_BBS:PSD_D2394:I_CSET,,,,,
FS1_BTS:DH_D2435,FS1_BTS:PSD_D2435:I_CSET,,,,,
