Name,Polarity
"# QUAD, x-defocusing",
FE_MEBT:Q_D1060,-1
FE_MEBT:Q_D1076,-1
FE_MEBT:Q_D1098,-1
FE_MEBT:Q_D1115,-1
LS1_BTS:QV_D1950,-1
LS1_BTS:QV_D1976,-1
LS1_BTS:QV_D2013,-1
LS1_BTS:QV_D2042,-1
LS1_BTS:QV_D2066,-1
LS1_BTS:QV_D2118,-1
FS1_CSS:QV_D2202,-1
FS1_CSS:QV_D2220,-1
FS1_CSS:QH_D2260,-1
FS1_CSS:QH_D2280,-1
FS1_CSS:QH_D2362,-1
FS1_CSS:QH_D2377,-1
#,
FS1_BTS:Q_D2415,-1
FS1_BBS:QV_D2424,-1
FS1_BTS:Q_D2453,-1
FS1_BBS:QV_D2463,-1
FS1_BMS:QV_D2511,-1
FS1_BMS:QV_D2539,-1
FS1_BMS:QV_D2563,-1
FS1_BMS:QV_D2597,-1
FS1_BMS:QV_D2654,-1
FS1_BMS:QV_D2679,-1
FS1_BMS:QV_D2698,-1
# FSEE,
FS1_SEE:Q_D2468,-1
FS1_SEE:Q_D2530,-1
#,
FS2_BTS:QV_D3940,-1
FS2_BTS:QV_D3950,-1
FS2_BTS:Q_D3994,-1
#,
FS2_BBS:QV_D4004,-1
FS2_BBS:QV_D4102,-1
FS2_BMS:QV_D4156,-1
FS2_BMS:QV_D4166,-1
FS2_BMS:QV_D4226,-1
FS2_BMS:QV_D4296,-1
LS3_BTS:QV_D4713,-1
LS3_BTS:QV_D4755,-1
LS3_BTS:QV_D4806,-1
LS3_BTS:QV_D4868,-1
LS3_BTS:QV_D4930,-1
LS3_BTS:QV_D4992,-1
LS3_BTS:QV_D5054,-1
LS3_BTS:QV_D5116,-1
LS3_BTS:QV_D5178,-1
LS3_BTS:QV_D5240,-1
LS3_BTS:QV_D5302,-1
LS3_BTS:QV_D5364,-1
LS3_BTS:QV_D5408,-1
LS3_BTS:QV_D5440,-1
BDS_BTS:QV_D5479,-1
BDS_BTS:QV_D5501,-1
BDS_BTS:QV_D5552,-1
BDS_BTS:Q_D5609,-1
# SEXT,
FS1_BBS:S_D2419,-1
FS1_BBS:S_D2469,-1
FS2_BBS:S_D4000,-1
FS2_BBS:S_D4106,-1
#,
BDS_BBS:S_D5606,1
BDS_BBS:S_D5703,1
# SEE OCT,
FS1_SEE:O_D2512,-1
# BDS,
BDS_BBS:QV_D5621,-1
BDS_BBS:QV_D5688,-1
BDS_FFS:QV_D5757,-1
BDS_FFS:QV_D5784,-1
BDS_FFS:QV_D5815,-1
